bizesId,bizesNm,brchNm,indsLclsCd,indsLclsNm,indsMclsCd,indsMclsNm,indsSclsCd,indsSclsNm,ksicCd,ksicNm,ctprvnCd,ctprvnNm,signguCd,signguNm,adongCd,adongNm,ldongCd,ldongNm,lnoCd,plotSctCd,plotSctNm,lnoMnno,lnoSlno,lnoAdr,rdnmCd,rdnm,bldMnno,bldSlno,bldMngNo,bldNm,rdnmAdr,oldZipcd,newZipcd,dongNo,flrNo,hoNo,lon,lat,chgGb,chgDt
10004635,이철헤어커커,수원홈플러스점,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,41,경기도,41117,수원시 영통구,4111758500,영통3동,4111710500,영통동,4111710500109940002,1,대지,994.0,2,경기도 수원시 영통구 영통동 994-2,411173177007,경기도 수원시 영통구 봉영로,1576.0,,4111710500109940002001275,영통홈플러스,경기도 수원시 영통구 봉영로 1576,443470,16704,,4,,127.072594887193,37.2518042298368,U,20211210
10005733,이포천서리막국수본점,본점,Q,음식,Q04,분식,Q04A02,국수/만두/칼국수,I56194,분식 및 김밥 전문점,41,경기도,41610,광주시,4161056000,광남1동,4161011100,장지동,4161011100100770008,1,대지,77.0,8,경기도 광주시 장지동 77-8,416103211033,경기도 광주시 순암로,44.0,,4161011100100770008003924,,경기도 광주시 순암로 44,464070,12777,,1,,127.244487450922,37.3950743807212,U,20211210
10005921,이하늘헤어샵,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,41,경기도,41461,용인시 처인구,4146125600,이동읍,4146125628,이동읍,4146125628100650004,1,대지,65.0,4,경기도 용인시 처인구 이동읍 천리 65-4,414613203104,경기도 용인시 처인구 이동읍 이원로,92.0,,4146133028100650004004642,,경기도 용인시 처인구 이동읍 이원로 92,449833,17131,,,,127.216160619992,37.1875833441064,U,20211210
10009195,인수분식,,Q,음식,Q04,분식,Q04A01,라면김밥분식,I56194,분식 및 김밥 전문점,36,세종특별자치시,36110,세종특별자치시,3611025000,조치원읍,3611025029,조치원읍,3611025029100100007,1,대지,10.0,7,세종특별자치시 조치원읍 신흥리 10-7,361104574352,세종특별자치시 조치원읍 신흥샛터길,31.0,,4473025029100100007039082,,세종특별자치시 조치원읍 신흥샛터길 31,339807,30029,,1,,127.293883803151,36.5970986229857,U,20211210
10020131,잉크익스체인지조치원점,조치원점,D,소매,D08,사무/문구/컴퓨터,D08A01,사무/문구용품,G47612,문구용품 소매업,36,세종특별자치시,36110,세종특별자치시,3611025000,조치원읍,3611025031,조치원읍,3611025031100530000,1,대지,53.0,,세종특별자치시 조치원읍 번암리 53,361103258038,세종특별자치시 조치원읍 허만석로,60.0,,4473025031100530000036102,홈프러스조치원점,세종특별자치시 조치원읍 허만석로 60,339804,30036,,1,,127.29772517305,36.5863699068075,U,20211210
10020252,잎새,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,41,경기도,41570,김포시,4157052500,장기본동,4157010400,장기동,4157010400118860006,1,대지,1886.0,6,경기도 김포시 장기동 1886-6,415703209022,경기도 김포시 김포한강2로,222.0,,4157010400101880000000002,대영메디칼아카데미,경기도 김포시 김포한강2로 222,415060,10083,,2,,126.660993250819,37.6453732686347,U,20211210
10022877,자연식건강원,,D,소매,D10,건강/미용식품,D10A07,건강원,G47216,건강보조식품 소매업,36,세종특별자치시,36110,세종특별자치시,3611025000,조치원읍,3611025033,조치원읍,3611025033101650000,1,대지,165.0,,세종특별자치시 조치원읍 봉산리 165,361103258011,세종특별자치시 조치원읍 봉산로,126.0,,4473025033101650000036056,,세종특별자치시 조치원읍 봉산로 126,339805,30015,,,,127.277545244433,36.6077160384025,U,20211210
10030788,장안순대국밥,,Q,음식,Q10,별식/퓨전요리,Q10A05,순대전문점,I56111,한식 음식점업,11,서울특별시,11230,동대문구,1123061000,답십리2동,1123010500,답십리동,1123010500105300016,1,대지,530.0,16,서울특별시 동대문구 답십리동 530-16,112303105003,서울특별시 동대문구 고미술로,81.0,,1123010500105300016018329,,서울특별시 동대문구 고미술로 81,130032,02622,,1,,127.055701218943,37.5655946479339,U,20211210
10041644,정관장,안산중앙전시장,D,소매,D10,건강/미용식품,D10A05,인삼제품판매,G47216,건강보조식품 소매업,41,경기도,41273,안산시 단원구,4127353200,중앙동,4127310100,고잔동,4127310100105290000,1,대지,529.0,,경기도 안산시 단원구 고잔동 529,412732190001,경기도 안산시 단원구 광덕대로,254.0,,4127310100105290000004803,삼성생명빌딩,경기도 안산시 단원구 광덕대로 254,425714,15359,,1,,126.831455451284,37.3190704786337,U,20211210
10056715,제일전기모터,,D,소매,D07,가정/주방/인테리어,D07A10,조명기구/전기용품,G47591,전기용품 및 조명장치 소매업,36,세종특별자치시,36110,세종특별자치시,3611039000,소정면,3611039023,소정면,3611039023103110019,1,대지,311.0,19,세종특별자치시 소정면 대곡리 311-19,361104015001,세종특별자치시 소정면 학수소사길,8.0,,4473037024103110019000103,,세종특별자치시 소정면 학수소사길 8,339872,30001,,,,127.167902441743,36.7279945302133,U,20211210
